rank,lemma,frequency,core_band,language
477,niemand,86,Core-1000,de
478,echt,86,Core-1000,de
479,demnach,86,Core-1000,de
480,spieler,86,Core-1000,de
481,inzwischen,86,Core-1000,de
482,programm,86,Core-1000,de
483,bald,85,Core-1000,de
484,erleben,85,Core-1000,de
485,per,85,Core-1000,de
486,maßnahme,85,Core-1000,de
487,sofort,85,Core-1000,de
488,danach,85,Core-1000,de
489,--,85,Core-1000,de
490,sieg,84,Core-1000,de
491,wirken,84,Core-1000,de
492,sommer,84,Core-1000,de
493,eu,83,Core-1000,de
494,cdu,83,Core-1000,de
495,allein,82,Core-1000,de
496,gesamt,82,Core-1000,de
497,zug,82,Core-1000,de
498,januar,82,Core-1000,de
499,sichern,82,Core-1000,de
500,kontrolle,82,Core-1000,de
501,einsetzen,82,Core-1000,de
502,sitzen,81,Core-1000,de
503,bevor,81,Core-1000,de
504,film,81,Core-1000,de
505,putin,81,Core-1000,de
506,mitglied,81,Core-1000,de
507,rahmen,81,Core-1000,de
508,jugendliche,81,Core-1000,de
509,schlagen,81,Core-1000,de
510,china,80,Core-1000,de
511,idee,80,Core-1000,de
512,häufig,80,Core-1000,de
513,union,80,Core-1000,de
514,sowohl,80,Core-1000,de
515,eltern,80,Core-1000,de
516,schön,79,Core-1000,de
517,schlecht,79,Core-1000,de
518,dagegen,79,Core-1000,de
519,warten,79,Core-1000,de
520,möglichkeit,79,Core-1000,de
521,fahrer,79,Core-1000,de
522,liefern,79,Core-1000,de
523,sozial,79,Core-1000,de
524,wochenende,78,Core-1000,de
525,einzig,78,Core-1000,de
526,wahl,78,Core-1000,de
527,erzählen,78,Core-1000,de
528,unterschiedlich,78,Core-1000,de
529,tier,78,Core-1000,de
530,wien,77,Core-1000,de
531,verhindern,77,Core-1000,de
532,ebenso,77,Core-1000,de
533,positiv,77,Core-1000,de
534,ähnlich,77,Core-1000,de
535,mitte,77,Core-1000,de
536,bühne,77,Core-1000,de
537,unfall,77,Core-1000,de
538,rechnen,76,Core-1000,de
539,schaden,76,Core-1000,de
540,politik,76,Core-1000,de
541,datum,76,Core-1000,de
542,anschließend,76,Core-1000,de
543,aufgabe,76,Core-1000,de
544,besucher,76,Core-1000,de
545,reagieren,76,Core-1000,de
546,stimme,76,Core-1000,de
547,insbesondere,75,Core-1000,de
548,mindestens,75,Core-1000,de
549,hinweis,75,Core-1000,de
550,bad,74,Core-1000,de
551,kunde,74,Core-1000,de
552,unterstützung,74,Core-1000,de
553,wählen,74,Core-1000,de
554,ermittlung,74,Core-1000,de
555,teuer,73,Core-1000,de
556,lernen,73,Core-1000,de
557,zumindest,73,Core-1000,de
558,video,73,Core-1000,de
559,überhaupt,73,Core-1000,de
560,information,73,Core-1000,de
561,gebäude,73,Core-1000,de
562,persönlich,73,Core-1000,de
563,druck,73,Core-1000,de
564,sterben,72,Core-1000,de
565,the,72,Core-1000,de
566,münchen,72,Core-1000,de
567,vergleich,72,Core-1000,de
568,mittlerweile,72,Core-1000,de
569,hilfe,72,Core-1000,de
570,gericht,72,Core-1000,de
571,trotzdem,72,Core-1000,de
572,titel,72,Core-1000,de
573,beamter,72,Core-1000,de
574,fühlen,72,Core-1000,de
575,situation,72,Core-1000,de
576,brand,72,Core-1000,de
577,schweiz,72,Core-1000,de
578,hoffen,72,Core-1000,de
579,ermöglichen,72,Core-1000,de
580,system,71,Core-1000,de
581,verkaufen,71,Core-1000,de
582,modell,71,Core-1000,de
583,jemand,71,Core-1000,de
584,mutter,71,Core-1000,de
585,am,71,Core-1000,de
586,leute,71,Core-1000,de
587,hinaus,71,Core-1000,de
588,zusammenarbeit,71,Core-1000,de
589,bauen,71,Core-1000,de
590,opfer,71,Core-1000,de
591,erstmals,71,Core-1000,de
592,unterwegs,70,Core-1000,de
593,tor,70,Core-1000,de
594,mannschaft,70,Core-1000,de
595,mitarbeiter,70,Core-1000,de
596,kilometer,70,Core-1000,de
597,nah,70,Core-1000,de
598,verletzung,69,Core-1000,de
599,lösung,69,Core-1000,de
600,erkennen,69,Core-1000,de
601,holen,69,Core-1000,de
602,kämpfen,69,Core-1000,de
603,leistung,69,Core-1000,de
604,wirtschaft,69,Core-1000,de
605,ukrainisch,69,Core-1000,de
606,betrieb,69,Core-1000,de
607,alter,68,Core-1000,de
608,tat,68,Core-1000,de
609,verstehen,68,Core-1000,de
610,sache,68,Core-1000,de
611,höhe,68,Core-1000,de
612,darum,68,Core-1000,de
613,bitten,68,Core-1000,de
614,verlassen,68,Core-1000,de
615,rufen,68,Core-1000,de
616,rot,68,Core-1000,de
617,drohen,67,Core-1000,de
618,schwierig,67,Core-1000,de
619,herausforderung,67,Core-1000,de
620,aktiv,67,Core-1000,de
621,studie,67,Core-1000,de
622,krankenhaus,67,Core-1000,de
623,erinnern,67,Core-1000,de
624,grad,67,Core-1000,de
625,entdecken,67,Core-1000,de
626,bank,67,Core-1000,de
627,bürgermeister,67,Core-1000,de
628,komplett,66,Core-1000,de
629,eng,66,Core-1000,de
630,überzeugen,66,Core-1000,de
631,weltweit,66,Core-1000,de
632,schließlich,66,Core-1000,de
633,antwort,65,Core-1000,de
634,kreis,65,Core-1000,de
635,ki,65,Core-1000,de
636,beliebt,65,Core-1000,de
637,medium,65,Core-1000,de
638,beginn,65,Core-1000,de
639,behörde,64,Core-1000,de
640,grüne,64,Core-1000,de
641,musik,64,Core-1000,de
642,nachricht,64,Core-1000,de
643,passieren,64,Core-1000,de
644,funktionieren,64,Core-1000,de
645,landkreis,64,Core-1000,de
646,kritisieren,64,Core-1000,de
647,entscheidend,64,Core-1000,de
648,interesse,63,Core-1000,de
649,publikum,63,Core-1000,de
650,schweizer,63,Core-1000,de
651,laden,63,Core-1000,de
652,nähe,63,Core-1000,de
653,historisch,63,Core-1000,de
654,sperren,63,Core-1000,de
655,hart,63,Core-1000,de
656,interview,62,Core-1000,de
657,reichen,62,Core-1000,de
658,versprechen,62,Core-1000,de
659,kopf,62,Core-1000,de
660,frankfurt,62,Core-1000,de
661,gefährlich,62,Core-1000,de
662,de,62,Core-1000,de
663,erfahrung,62,Core-1000,de
664,massiv,62,Core-1000,de
665,schützen,61,Core-1000,de
666,grenze,61,Core-1000,de
667,hingegen,61,Core-1000,de
668,veranstaltung,61,Core-1000,de
669,vorsitzend,61,Core-1000,de
670,konkret,61,Core-1000,de
671,veröffentlichen,61,Core-1000,de
672,sohn,61,Core-1000,de
673,aufnehmen,61,Core-1000,de
674,aussage,60,Core-1000,de
675,gefahr,60,Core-1000,de
676,völlig,60,Core-1000,de
677,bezeichnen,60,Core-1000,de
678,digital,60,Core-1000,de
679,erscheinen,60,Core-1000,de
680,tochter,60,Core-1000,de
681,thomas,60,Core-1000,de
682,hamburg,60,Core-1000,de
683,christian,60,Core-1000,de
684,geraten,60,Core-1000,de
685,experte,60,Core-1000,de
686,vater,59,Core-1000,de
687,morgen,59,Core-1000,de
688,genug,59,Core-1000,de
689,michael,59,Core-1000,de
690,verbinden,59,Core-1000,de
691,gering,59,Core-1000,de
692,buch,59,Core-1000,de
